time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Duration of ended episode,1055,318,30.1,158,15,247,23.4,196,18.6,136,12.9
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Duration of ended episode,1983,813,41,329,16.6,380,19.2,270,13.6,191,9.6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Duration of ended episode,1941,889,45.8,216,11.1,313,16.1,315,16.2,208,10.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Duration of ended episode,1171,520,44.4,229,19.6,200,17.1,95,8.1,127,10.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Duration of ended episode,1497,576,38.5,270,18,247,16.5,192,12.8,212,14.2
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Duration of ended episode,3787,2365,62.5,675,17.8,305,8.1,221,5.8,221,5.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Duration of ended episode,2233,1232,55.2,353,15.8,318,14.2,168,7.5,162,7.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Duration of ended episode,1427,347,24.3,326,22.8,328,23,211,14.8,215,15.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Duration of ended episode,1574,527,33.5,288,18.3,329,20.9,276,17.5,154,9.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Duration of ended episode,1678,374,22.3,311,18.5,372,22.2,323,19.2,298,17.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Duration of ended episode,1031,380,36.9,184,17.8,205,19.9,143,13.9,119,11.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Duration of ended episode,746,271,36.3,159,21.3,146,19.6,107,14.3,63,8.4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Duration of ended episode,3831,2013,52.5,368,9.6,524,13.7,367,9.6,559,14.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Duration of ended episode,2740,996,36.4,524,19.1,409,14.9,366,13.4,445,16.2
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Duration of ended episode,5539,3280,59.2,931,16.8,511,9.2,417,7.5,400,7.2
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Duration of ended episode,3681,2030,55.1,726,19.7,401,10.9,267,7.3,257,7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Duration of ended episode,2322,880,37.9,611,26.3,382,16.5,252,10.9,197,8.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Duration of ended episode,1963,709,36.1,379,19.3,340,17.3,244,12.4,291,14.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Duration of ended episode,2228,852,38.2,406,18.2,486,21.8,311,14,173,7.8
