time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Duration of open episode,1660,437,26.3,112,6.7,197,11.9,270,16.3,644,38.8
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Duration of open episode,2393,617,25.8,285,11.9,352,14.7,424,17.7,715,29.9
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Duration of open episode,1573,348,22.1,162,10.3,247,15.7,280,17.8,536,34.1
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Duration of open episode,1435,316,22,148,10.3,191,13.3,191,13.3,589,41
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Duration of open episode,2279,665,29.2,224,9.8,294,12.9,296,13,800,35.1
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Duration of open episode,1994,606,30.4,163,8.2,259,13,251,12.6,715,35.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Duration of open episode,1336,303,22.7,125,9.4,165,12.4,173,12.9,570,42.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Duration of open episode,2075,451,21.7,214,10.3,272,13.1,275,13.3,863,41.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Duration of open episode,2357,828,35.1,305,12.9,337,14.3,202,8.6,685,29.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Duration of open episode,1411,379,26.9,148,10.5,207,14.7,207,14.7,470,33.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Duration of open episode,2230,512,23,266,11.9,277,12.4,281,12.6,894,40.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Duration of open episode,2360,693,29.4,266,11.3,299,12.7,372,15.8,730,30.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Duration of open episode,2727,621,22.8,270,9.9,364,13.3,469,17.2,1003,36.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Duration of open episode,1189,341,28.7,149,12.5,166,14,224,18.8,309,26
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Duration of open episode,1236,211,17.1,86,7,183,14.8,187,15.1,569,46
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Duration of open episode,8051,1065,13.2,515,6.4,813,10.1,1002,12.4,4656,57.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Duration of open episode,3834,733,19.1,180,4.7,275,7.2,550,14.3,2096,54.7
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Duration of open episode,5462,1317,24.1,488,8.9,529,9.7,717,13.1,2411,44.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Duration of open episode,2747,935,34,321,11.7,398,14.5,371,13.5,722,26.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Duration of open episode,3403,904,26.6,439,12.9,558,16.4,411,12.1,1091,32.1
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Duration of open episode,2638,901,34.2,268,10.2,326,12.4,305,11.6,838,31.8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Duration of open episode,2739,796,29.1,315,11.5,365,13.3,402,14.7,861,31.4
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Duration of open episode,1643,359,21.9,188,11.4,248,15.1,256,15.6,592,36
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Duration of open episode,2181,518,23.8,236,10.8,294,13.5,372,17.1,761,34.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Duration of open episode,2122,382,18,192,9,227,10.7,341,16.1,980,46.2
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Duration of open episode,1536,369,24,241,15.7,228,14.8,202,13.2,496,32.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Duration of open episode,1551,483,31.1,195,12.6,210,13.5,235,15.2,428,27.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Duration of open episode,2964,961,32.4,310,10.5,436,14.7,390,13.2,867,29.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Duration of open episode,2618,636,24.3,263,10,322,12.3,349,13.3,1048,40
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Duration of open episode,1696,526,31,272,16,242,14.3,238,14,418,24.6
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Duration of open episode,6165,1867,30.3,697,11.3,684,11.1,895,14.5,2022,32.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Duration of open episode,1452,368,25.3,127,8.7,208,14.3,203,14,546,37.6
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Duration of open episode,2281,874,38.3,264,11.6,276,12.1,345,15.1,522,22.9
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Duration of open episode,1808,493,27.3,194,10.7,312,17.3,228,12.6,581,32.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Duration of open episode,3372,971,28.8,366,10.9,430,12.8,489,14.5,1116,33.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Duration of open episode,2375,698,29.4,282,11.9,316,13.3,257,10.8,822,34.6
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Duration of open episode,5589,1753,31.4,581,10.4,649,11.6,761,13.6,1845,33
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Duration of open episode,1829,296,16.2,153,8.4,275,15,320,17.5,785,42.9
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Duration of open episode,1064,243,22.8,152,14.3,209,19.6,154,14.5,306,28.8
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Duration of open episode,3021,894,29.6,354,11.7,394,13,362,12,1017,33.7
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Duration of open episode,2126,475,22.3,231,10.9,440,20.7,314,14.8,666,31.3
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Duration of open episode,3868,927,24,573,14.8,590,15.3,576,14.9,1202,31.1
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Duration of open episode,2384,617,25.9,309,13,390,16.4,379,15.9,689,28.9
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Duration of open episode,1065,299,28.1,83,7.8,143,13.4,122,11.5,418,39.2
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Duration of open episode,2229,584,26.2,196,8.8,264,11.8,368,16.5,817,36.7
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Duration of open episode,5544,1870,33.7,830,15,771,13.9,807,14.6,1266,22.8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Duration of open episode,2110,596,28.2,259,12.3,280,13.3,257,12.2,718,34
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Duration of open episode,2887,665,23,377,13.1,539,18.7,460,15.9,846,29.3
