Name,Period,House price index All property types,Average price All property types,Percentage change (monthly) All property types,Percentage change (yearly) All property types
United Kingdom,2022-10,153,291637,-0.1,10.7
United Kingdom,2022-11,153.2,292187,0.2,9.3
United Kingdom,2022-12,152.2,290128,-0.7,8.2
United Kingdom,2023-01,150.4,286847,-1.1,5.2
United Kingdom,2023-02,149.6,285288,-0.5,4.7
United Kingdom,2023-03,148.2,282548,-1,3.2
United Kingdom,2023-04,148.9,283871,0.5,2.5
United Kingdom,2023-05,149.5,285053,0.4,1.6
United Kingdom,2023-06,151.2,288281,1.1,1.9
United Kingdom,2023-07,152,289824,0.5,0.6
