time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,age_group,population_estimate
2023,Reporting year,National,E92000001,England,,,,,,Children aged 0 to 17 years,11998646
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children aged 0 to 17 years,535227
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children aged 0 to 17 years,1599260
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children aged 0 to 17 years,1164914
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children aged 0 to 17 years,1016250
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children aged 0 to 17 years,1325199
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children aged 0 to 17 years,1367078
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children aged 0 to 17 years,1899880
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children aged 0 to 17 years,1988962
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children aged 0 to 17 years,1101876
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children aged 0 to 17 years,641078
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children aged 0 to 17 years,1258802
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Children aged 0 to 17 years,99629
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Children aged 0 to 17 years,22411
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Children aged 0 to 17 years,39784
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Children aged 0 to 17 years,20417
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Children aged 0 to 17 years,34791
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Children aged 0 to 17 years,60086
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Children aged 0 to 17 years,42037
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Children aged 0 to 17 years,58812
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Children aged 0 to 17 years,27441
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Children aged 0 to 17 years,30096
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Children aged 0 to 17 years,44087
